City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
6,Rikitea,PF,74.71,few clouds,-23.1203,-134.9692,People ThankYou
9,Andros Town,BS,85.96,broken clouds,24.7,-77.7667,Hanks place
10,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Ospitaletto,IT,88.99,scattered clouds,45.1333,10.6,B&B Casazze Dream
19,Kapaa,US,75.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Lazaro Cardenas,MX,80.58,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
23,Puerto Lopez,CO,82.85,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
27,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
29,Ilorin,NG,85.62,light rain,8.5,4.55,SITY INN
30,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
35,Sadovo,BG,82.96,clear sky,42.1333,24.9333,"Къща за гости ""Сюлевски"" Садаво"
36,Atuona,PF,77.14,few clouds,-9.8,-139.0333,Villa Enata
39,Carnarvon,AU,71.74,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
42,Jamestown,US,82.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Prainha,BR,82.04,scattered clouds,-1.8,-53.48,Casa Rocha
48,Bethel,US,85.87,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
50,Morondava,MG,77.88,scattered clouds,-20.2833,44.2833,La Case Bambou
52,Hithadhoo,MV,83.79,overcast clouds,-0.6,73.0833,Scoop Guest House
54,Pasighat,IN,73.54,overcast clouds,28.0667,95.3333,Siang Guest House
56,Merauke,ID,77.72,few clouds,-8.4667,140.3333,
57,Pasni,PK,82.38,clear sky,25.2631,63.471,Kashmiri Hotal
65,Papara,BR,85.96,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
70,Victoria,HK,81.18,broken clouds,22.2855,114.1577,Mini Central
71,Aksu,CN,77.23,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
72,Luau,AO,74.23,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
75,Bubaque,GW,78.82,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
76,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
77,Hamilton,US,85.6,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
78,Palmer,US,80.58,broken clouds,42.1584,-72.3287,Wedgewood Motel
84,Port Keats,AU,77.95,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
85,Albany,US,86.18,broken clouds,42.6001,-73.9662,
88,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Tabas,IR,80.83,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
91,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
92,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
96,Pangai,TO,77.63,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
99,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
101,Sola,VU,80.29,few clouds,-13.8833,167.55,Leumerus Bungalows
104,Cehegin,ES,87.13,overcast clouds,38.0924,-1.7985,Apartamentos Begastri
106,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
107,Ewa Beach,US,75.4,broken clouds,21.3156,-158.0072,Base Lodging
108,Pafos,CY,81.23,clear sky,34.7667,32.4167,Elysium Hotel
