City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lagoa,PT,39.05,-27.9833,63.86,92,73,3.04,broken clouds
1,Shatrovo,RU,56.5167,64.6333,51.03,89,100,12.12,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,62.28,71,20,6.91,few clouds
3,Port Alfred,ZA,-33.5906,26.891,59.18,88,78,1.99,broken clouds
4,Acapulco,MX,16.8634,-99.8901,82.22,65,40,4.61,scattered clouds
5,Naze,JP,28.3667,129.4833,67.12,84,67,10.96,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,74.71,74,11,6.33,few clouds
7,Wagar,SD,16.1525,36.2032,103.8,13,59,2.86,broken clouds
8,Chegdomyn,RU,51.1167,133.0167,43.03,97,99,2.08,overcast clouds
9,Andros Town,BS,24.7,-77.7667,85.96,80,75,17.47,broken clouds
10,Vaini,TO,-21.2,-175.2,71.76,94,40,3.44,scattered clouds
11,Cherskiy,RU,68.75,161.3,47.8,63,94,10.13,overcast clouds
12,Busselton,AU,-33.65,115.3333,60.78,71,4,9.35,clear sky
13,Saskylakh,RU,71.9167,114.0833,27.73,98,100,6.49,overcast clouds
14,Hobart,AU,-42.8794,147.3294,42.66,92,100,8.05,mist
15,Ospitaletto,IT,45.1333,10.6,88.99,53,28,3.0,scattered clouds
16,Surt,LY,31.2089,16.5887,69.39,51,0,9.35,clear sky
17,Ushuaia,AR,-54.8,-68.3,42.46,70,75,16.11,broken clouds
18,Port Hardy,CA,50.6996,-127.4199,46.58,93,100,6.91,overcast clouds
19,Kapaa,US,22.0752,-159.319,75.18,99,100,3.44,overcast clouds
20,Kakonko,TZ,-3.2828,30.9642,69.4,70,100,2.28,overcast clouds
21,Lazaro Cardenas,MX,17.9583,-102.2,80.58,68,97,4.88,overcast clouds
22,College,US,64.8569,-147.8028,55.9,50,40,3.44,scattered clouds
23,Puerto Lopez,CO,4.0845,-72.956,82.85,73,60,1.77,broken clouds
24,Chuy,UY,-33.6971,-53.4616,61.45,57,94,8.23,overcast clouds
25,Dikson,RU,73.5069,80.5464,27.9,92,100,8.95,overcast clouds
26,Mount Gambier,AU,-37.8333,140.7667,46.04,95,11,5.57,few clouds
27,Mahebourg,MU,-20.4081,57.7,75.49,78,40,11.5,scattered clouds
28,Lufilufi,WS,-13.8745,-171.5986,74.98,79,43,12.37,light rain
29,Ilorin,NG,8.5,4.55,85.62,59,77,8.5,light rain
30,Denpasar,ID,-8.65,115.2167,80.26,94,20,3.44,few clouds
31,Ancud,CL,-41.8697,-73.8203,53.87,92,100,22.84,light rain
32,Challapata,BO,-18.9,-66.7667,50.61,17,100,5.91,overcast clouds
33,Ponta Delgada,PT,37.7333,-25.6667,66.92,94,75,10.36,broken clouds
34,Honningsvag,NO,70.9821,25.9704,44.35,76,100,14.97,overcast clouds
35,Sadovo,BG,42.1333,24.9333,82.96,32,2,9.22,clear sky
36,Atuona,PF,-9.8,-139.0333,77.14,76,22,9.98,few clouds
37,Kodiak,US,57.79,-152.4072,45.91,81,100,21.85,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,41.16,71,26,1.36,scattered clouds
39,Carnarvon,AU,-24.8667,113.6333,71.74,61,50,4.07,scattered clouds
40,Rawson,AR,-43.3002,-65.1023,59.54,42,91,13.53,overcast clouds
41,Luderitz,NA,-26.6481,15.1594,61.56,54,21,25.66,few clouds
42,Jamestown,US,42.097,-79.2353,82.02,68,100,11.5,overcast clouds
43,Srednekolymsk,RU,67.45,153.6833,49.6,52,89,4.36,overcast clouds
44,Hilo,US,19.7297,-155.09,82.27,86,100,4.61,overcast clouds
45,Yumen,CN,40.2833,97.2,68.38,29,1,21.83,clear sky
46,Mataura,NZ,-46.1927,168.8643,43.63,97,100,8.95,moderate rain
47,Prainha,BR,-1.8,-53.48,82.04,67,43,3.42,scattered clouds
48,Bethel,US,41.3712,-73.414,85.87,73,0,4.61,clear sky
49,Chumikan,RU,54.7183,135.315,31.91,99,100,1.57,light snow
50,Morondava,MG,-20.2833,44.2833,77.88,72,39,7.49,scattered clouds
51,Punta Arenas,CL,-53.15,-70.9167,41.11,81,0,14.97,clear sky
52,Hithadhoo,MV,-0.6,73.0833,83.79,68,92,8.41,overcast clouds
53,Khatanga,RU,71.9667,102.5,37.42,94,100,7.72,overcast clouds
54,Pasighat,IN,28.0667,95.3333,73.54,93,98,3.83,overcast clouds
55,Saldanha,ZA,-33.0117,17.9442,59.05,74,16,10.76,few clouds
56,Merauke,ID,-8.4667,140.3333,77.72,87,19,11.86,few clouds
57,Pasni,PK,25.2631,63.471,82.38,89,0,13.8,clear sky
58,Snyder,US,32.7179,-100.9176,69.31,28,0,17.27,clear sky
59,Vardo,NO,70.3705,31.1107,39.18,81,100,23.02,overcast clouds
60,Bilma,NE,18.6853,12.9164,101.1,8,37,4.61,scattered clouds
61,Norman Wells,CA,65.282,-126.8329,42.84,93,100,16.11,light rain
62,Bredasdorp,ZA,-34.5322,20.0403,57.42,72,66,7.49,broken clouds
63,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,58,40,29.93,scattered clouds
64,Qaanaaq,GL,77.484,-69.3632,19.04,87,100,3.85,overcast clouds
65,Papara,BR,-3.9839,-38.7273,85.96,73,29,6.46,scattered clouds
66,Yellowknife,CA,62.456,-114.3525,52.32,43,75,4.61,broken clouds
67,Dunedin,NZ,-45.8742,170.5036,46.8,73,96,11.01,overcast clouds
68,Fort Nelson,CA,58.8053,-122.7002,45.99,42,40,5.75,scattered clouds
69,Halifax,CA,44.6453,-63.5724,64.53,52,7,11.01,clear sky
70,Victoria,HK,22.2855,114.1577,81.18,81,82,13.0,broken clouds
71,Aksu,CN,41.1231,80.2644,77.23,26,100,13.2,overcast clouds
72,Luau,AO,-10.7073,22.2247,74.23,40,84,2.15,broken clouds
73,Shache,CN,38.4167,77.2406,67.26,47,99,21.47,overcast clouds
74,Hay River,CA,60.8156,-115.7999,49.98,46,75,3.44,broken clouds
75,Bubaque,GW,11.2833,-15.8333,78.82,78,87,13.38,overcast clouds
76,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,46,12.91,light rain
77,Hamilton,US,39.1834,-84.5333,85.6,70,0,14.97,clear sky
78,Palmer,US,42.1584,-72.3287,80.58,69,75,4.61,broken clouds
79,Henties Bay,NA,-22.116,14.2845,59.56,64,26,13.22,scattered clouds
80,Brae,GB,60.3964,-1.353,53.17,72,60,15.55,broken clouds
81,Muyezerskiy,RU,63.9333,31.65,49.84,42,90,7.94,overcast clouds
82,Newport,GB,51.5877,-2.9984,66.11,58,84,11.3,broken clouds
83,Smithers,CA,54.7804,-127.1743,44.92,61,0,3.44,clear sky
84,Port Keats,AU,-14.25,129.55,77.95,40,1,12.59,clear sky
85,Albany,US,42.6001,-73.9662,86.18,71,64,4.07,broken clouds
86,Severo-Kurilsk,RU,50.6789,156.125,41.25,98,100,2.19,overcast clouds
87,Saint Anthony,US,45.0205,-93.218,53.38,54,75,11.5,broken clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,75.16,88,72,7.0,broken clouds
89,Tabas,IR,33.5959,56.9244,80.83,24,6,19.82,clear sky
90,Port Macquarie,AU,-31.4333,152.9167,58.89,94,75,5.75,light rain
91,Ponta Do Sol,PT,32.6667,-17.1,74.03,75,74,1.7,broken clouds
92,Praia,CV,14.9215,-23.5087,81.14,50,20,18.41,few clouds
93,Necochea,AR,-38.5473,-58.7368,59.77,57,0,11.34,clear sky
